id = 0, KLT = 37, ransac = 36
id = 1, KLT = 33, ransac = 33
id = 2, KLT = 37, ransac = 37
id = 3, KLT = 28, ransac = 28
id = 4, KLT = 33, ransac = 31
id = 5, KLT = 30, ransac = 29
id = 6, KLT = 23, ransac = 20
id = 7, KLT = 23, ransac = 21
id = 8, KLT = 49, ransac = 28
id = 9, KLT = 77, ransac = 40
id = 10, KLT = 96, ransac = 48
id = 11, KLT = 117, ransac = 56
id = 12, KLT = 89, ransac = 54
id = 13, KLT = 33, ransac = 26
id = 14, KLT = 39, ransac = 28
id = 15, KLT = 68, ransac = 42
id = 16, KLT = 51, ransac = 38
id = 17, KLT = 43, ransac = 32
id = 18, KLT = 79, ransac = 45
id = 19, KLT = 115, ransac = 43
id = 20, KLT = 110, ransac = 40
id = 21, KLT = 39, ransac = 24
id = 22, KLT = 31, ransac = 27
id = 23, KLT = 38, ransac = 34
id = 24, KLT = 30, ransac = 30
id = 25, KLT = 27, ransac = 26
id = 26, KLT = 39, ransac = 37
id = 27, KLT = 17, ransac = 17
id = 28, KLT = 6, ransac = 0
id = 29, KLT = 0, ransac = 0
id = 30, KLT = 1, ransac = 0
id = 31, KLT = 4, ransac = 0
id = 32, KLT = 5, ransac = 0
id = 33, KLT = 1, ransac = 0
id = 34, KLT = 3, ransac = 0
id = 35, KLT = 0, ransac = 0
id = 36, KLT = 0, ransac = 0
id = 37, KLT = 0, ransac = 0
id = 38, KLT = 13, ransac = 7
id = 39, KLT = 12, ransac = 8
id = 40, KLT = 26, ransac = 25
id = 41, KLT = 19, ransac = 19
id = 42, KLT = 33, ransac = 33
id = 43, KLT = 34, ransac = 32
id = 44, KLT = 59, ransac = 33
id = 45, KLT = 99, ransac = 33
id = 46, KLT = 129, ransac = 56
id = 47, KLT = 136, ransac = 63
id = 48, KLT = 128, ransac = 60
id = 49, KLT = 118, ransac = 59
id = 50, KLT = 130, ransac = 67
id = 51, KLT = 145, ransac = 80
id = 52, KLT = 107, ransac = 59
id = 53, KLT = 124, ransac = 39
id = 54, KLT = 61, ransac = 26
id = 55, KLT = 24, ransac = 18
id = 56, KLT = 41, ransac = 34
id = 57, KLT = 35, ransac = 31
id = 58, KLT = 33, ransac = 33
id = 59, KLT = 39, ransac = 39
id = 60, KLT = 42, ransac = 41
id = 61, KLT = 31, ransac = 31
id = 62, KLT = 17, ransac = 17
id = 63, KLT = 0, ransac = 0
id = 64, KLT = 0, ransac = 0
id = 65, KLT = 1, ransac = 0
id = 66, KLT = 3, ransac = 0
id = 67, KLT = 4, ransac = 0
id = 68, KLT = 4, ransac = 0
id = 69, KLT = 2, ransac = 0
id = 70, KLT = 2, ransac = 0
id = 71, KLT = 1, ransac = 0
id = 72, KLT = 0, ransac = 0
id = 73, KLT = 10, ransac = 8
id = 74, KLT = 25, ransac = 23
id = 75, KLT = 45, ransac = 45
id = 76, KLT = 45, ransac = 44
id = 77, KLT = 58, ransac = 52
id = 78, KLT = 27, ransac = 25
id = 79, KLT = 32, ransac = 32
id = 80, KLT = 64, ransac = 35
id = 81, KLT = 126, ransac = 48
id = 82, KLT = 189, ransac = 81
id = 83, KLT = 190, ransac = 90
id = 84, KLT = 135, ransac = 67
id = 85, KLT = 92, ransac = 50
id = 86, KLT = 86, ransac = 45
id = 87, KLT = 78, ransac = 47
id = 88, KLT = 70, ransac = 45
id = 89, KLT = 118, ransac = 59
id = 90, KLT = 135, ransac = 54
id = 91, KLT = 119, ransac = 43
id = 92, KLT = 111, ransac = 49
id = 93, KLT = 46, ransac = 34
id = 94, KLT = 32, ransac = 32
id = 95, KLT = 42, ransac = 39
id = 96, KLT = 54, ransac = 49
id = 97, KLT = 50, ransac = 48
id = 98, KLT = 21, ransac = 21
id = 99, KLT = 9, ransac = 7
id = 100, KLT = 0, ransac = 0
id = 101, KLT = 0, ransac = 0
id = 102, KLT = 0, ransac = 0
id = 103, KLT = 1, ransac = 0
id = 104, KLT = 0, ransac = 0
id = 105, KLT = 0, ransac = 0
id = 106, KLT = 1, ransac = 0
id = 107, KLT = 3, ransac = 0
id = 108, KLT = 0, ransac = 0
id = 109, KLT = 3, ransac = 0
id = 110, KLT = 2, ransac = 0
id = 111, KLT = 2, ransac = 0
id = 112, KLT = 3, ransac = 0
id = 113, KLT = 35, ransac = 29
id = 114, KLT = 34, ransac = 34
id = 115, KLT = 69, ransac = 61
id = 116, KLT = 62, ransac = 55
id = 117, KLT = 62, ransac = 57
id = 118, KLT = 68, ransac = 63
id = 119, KLT = 67, ransac = 62
id = 120, KLT = 75, ransac = 60
id = 121, KLT = 52, ransac = 37
id = 122, KLT = 120, ransac = 63
id = 123, KLT = 140, ransac = 62
id = 124, KLT = 207, ransac = 64
id = 125, KLT = 272, ransac = 87
