id = 0, KLT = 1239, ransac = 1221
id = 1, KLT = 1278, ransac = 1229
id = 2, KLT = 1349, ransac = 1336
id = 3, KLT = 1327, ransac = 1311
id = 4, KLT = 1273, ransac = 1235
id = 5, KLT = 1140, ransac = 1131
id = 6, KLT = 978, ransac = 960
id = 7, KLT = 825, ransac = 808
id = 8, KLT = 758, ransac = 742
id = 9, KLT = 699, ransac = 666
id = 10, KLT = 665, ransac = 617
id = 11, KLT = 628, ransac = 558
id = 12, KLT = 493, ransac = 413
id = 13, KLT = 302, ransac = 276
id = 14, KLT = 202, ransac = 181
id = 15, KLT = 116, ransac = 85
id = 16, KLT = 93, ransac = 59
id = 17, KLT = 88, ransac = 68
id = 18, KLT = 168, ransac = 94
id = 19, KLT = 296, ransac = 199
id = 20, KLT = 384, ransac = 328
id = 21, KLT = 549, ransac = 541
id = 22, KLT = 760, ransac = 716
id = 23, KLT = 1048, ransac = 1040
id = 24, KLT = 1175, ransac = 1150
id = 25, KLT = 1270, ransac = 1226
id = 26, KLT = 1361, ransac = 1348
id = 27, KLT = 1430, ransac = 1418
id = 28, KLT = 1504, ransac = 1498
id = 29, KLT = 1560, ransac = 1559
id = 30, KLT = 1586, ransac = 1579
id = 31, KLT = 1591, ransac = 1590
id = 32, KLT = 1588, ransac = 1579
id = 33, KLT = 1549, ransac = 1546
id = 34, KLT = 1575, ransac = 1504
id = 35, KLT = 1549, ransac = 1546
id = 36, KLT = 1552, ransac = 1549
id = 37, KLT = 1479, ransac = 1479
id = 38, KLT = 1452, ransac = 1443
id = 39, KLT = 1449, ransac = 1438
id = 40, KLT = 1404, ransac = 1358
id = 41, KLT = 1342, ransac = 1328
id = 42, KLT = 1277, ransac = 1271
id = 43, KLT = 1112, ransac = 1097
id = 44, KLT = 905, ransac = 881
id = 45, KLT = 769, ransac = 738
id = 46, KLT = 600, ransac = 567
id = 47, KLT = 483, ransac = 433
id = 48, KLT = 342, ransac = 297
id = 49, KLT = 159, ransac = 142
id = 50, KLT = 117, ransac = 93
id = 51, KLT = 276, ransac = 167
id = 52, KLT = 333, ransac = 278
id = 53, KLT = 473, ransac = 417
id = 54, KLT = 597, ransac = 587
id = 55, KLT = 753, ransac = 726
id = 56, KLT = 957, ransac = 945
id = 57, KLT = 1123, ransac = 1114
id = 58, KLT = 1187, ransac = 1161
id = 59, KLT = 1270, ransac = 1262
id = 60, KLT = 1328, ransac = 1317
id = 61, KLT = 1377, ransac = 1365
id = 62, KLT = 1458, ransac = 1438
id = 63, KLT = 1524, ransac = 1454
id = 64, KLT = 1578, ransac = 1518
id = 65, KLT = 1604, ransac = 1594
id = 66, KLT = 1564, ransac = 1532
id = 67, KLT = 1574, ransac = 1539
